index,emotion_numeric,emotion_str,image_path
15460,2,awe,style_images/emotion_index_mapped_files/val_emo_list.txt/15460.jpg
15461,2,awe,style_images/emotion_index_mapped_files/val_emo_list.txt/15461.jpg
15462,3,contentment,style_images/emotion_index_mapped_files/val_emo_list.txt/15462.jpg
15463,1,excitement,style_images/emotion_index_mapped_files/val_emo_list.txt/15463.jpg
15464,3,contentment,style_images/emotion_index_mapped_files/val_emo_list.txt/15464.jpg
15465,2,awe,style_images/emotion_index_mapped_files/val_emo_list.txt/15465.jpg
15466,0,amusement,style_images/emotion_index_mapped_files/val_emo_list.txt/15466.jpg
15467,1,excitement,style_images/emotion_index_mapped_files/val_emo_list.txt/15467.jpg
15468,0,amusement,style_images/emotion_index_mapped_files/val_emo_list.txt/15468.jpg
15469,1,excitement,style_images/emotion_index_mapped_files/val_emo_list.txt/15469.jpg
15470,0,amusement,style_images/emotion_index_mapped_files/val_emo_list.txt/15470.jpg
15471,3,contentment,style_images/emotion_index_mapped_files/val_emo_list.txt/15471.jpg
15472,7,sadness,style_images/emotion_index_mapped_files/val_emo_list.txt/15472.jpg
15473,2,awe,style_images/emotion_index_mapped_files/val_emo_list.txt/15473.jpg
15474,3,contentment,style_images/emotion_index_mapped_files/val_emo_list.txt/15474.jpg
15475,0,amusement,style_images/emotion_index_mapped_files/val_emo_list.txt/15475.jpg
15476,1,excitement,style_images/emotion_index_mapped_files/val_emo_list.txt/15476.jpg
15477,1,excitement,style_images/emotion_index_mapped_files/val_emo_list.txt/15477.jpg
15478,0,amusement,style_images/emotion_index_mapped_files/val_emo_list.txt/15478.jpg
15479,6,fear,style_images/emotion_index_mapped_files/val_emo_list.txt/15479.jpg
15480,1,excitement,style_images/emotion_index_mapped_files/val_emo_list.txt/15480.jpg
15481,0,amusement,style_images/emotion_index_mapped_files/val_emo_list.txt/15481.jpg
15482,2,awe,style_images/emotion_index_mapped_files/val_emo_list.txt/15482.jpg
15483,2,awe,style_images/emotion_index_mapped_files/val_emo_list.txt/15483.jpg
15484,5,anger,style_images/emotion_index_mapped_files/val_emo_list.txt/15484.jpg
15485,0,amusement,style_images/emotion_index_mapped_files/val_emo_list.txt/15485.jpg
15486,3,contentment,style_images/emotion_index_mapped_files/val_emo_list.txt/15486.jpg
15487,0,amusement,style_images/emotion_index_mapped_files/val_emo_list.txt/15487.jpg
15488,3,contentment,style_images/emotion_index_mapped_files/val_emo_list.txt/15488.jpg
15489,0,amusement,style_images/emotion_index_mapped_files/val_emo_list.txt/15489.jpg
15490,0,amusement,style_images/emotion_index_mapped_files/val_emo_list.txt/15490.jpg
15491,7,sadness,style_images/emotion_index_mapped_files/val_emo_list.txt/15491.jpg
15492,1,excitement,style_images/emotion_index_mapped_files/val_emo_list.txt/15492.jpg
15493,4,disgust,style_images/emotion_index_mapped_files/val_emo_list.txt/15493.jpg
15494,4,disgust,style_images/emotion_index_mapped_files/val_emo_list.txt/15494.jpg
15495,3,contentment,style_images/emotion_index_mapped_files/val_emo_list.txt/15495.jpg
15496,0,amusement,style_images/emotion_index_mapped_files/val_emo_list.txt/15496.jpg
15497,1,excitement,style_images/emotion_index_mapped_files/val_emo_list.txt/15497.jpg
15498,3,contentment,style_images/emotion_index_mapped_files/val_emo_list.txt/15498.jpg
15499,1,excitement,style_images/emotion_index_mapped_files/val_emo_list.txt/15499.jpg
15500,3,contentment,style_images/emotion_index_mapped_files/val_emo_list.txt/15500.jpg
15501,2,awe,style_images/emotion_index_mapped_files/val_emo_list.txt/15501.jpg
15502,3,contentment,style_images/emotion_index_mapped_files/val_emo_list.txt/15502.jpg
15503,0,amusement,style_images/emotion_index_mapped_files/val_emo_list.txt/15503.jpg
15504,3,contentment,style_images/emotion_index_mapped_files/val_emo_list.txt/15504.jpg
15505,3,contentment,style_images/emotion_index_mapped_files/val_emo_list.txt/15505.jpg
15506,7,sadness,style_images/emotion_index_mapped_files/val_emo_list.txt/15506.jpg
15507,2,awe,style_images/emotion_index_mapped_files/val_emo_list.txt/15507.jpg
15508,3,contentment,style_images/emotion_index_mapped_files/val_emo_list.txt/15508.jpg
15509,7,sadness,style_images/emotion_index_mapped_files/val_emo_list.txt/15509.jpg
15510,1,excitement,style_images/emotion_index_mapped_files/val_emo_list.txt/15510.jpg
15511,7,sadness,style_images/emotion_index_mapped_files/val_emo_list.txt/15511.jpg
15512,7,sadness,style_images/emotion_index_mapped_files/val_emo_list.txt/15512.jpg
15513,4,disgust,style_images/emotion_index_mapped_files/val_emo_list.txt/15513.jpg
15514,1,excitement,style_images/emotion_index_mapped_files/val_emo_list.txt/15514.jpg
15515,0,amusement,style_images/emotion_index_mapped_files/val_emo_list.txt/15515.jpg
15516,3,contentment,style_images/emotion_index_mapped_files/val_emo_list.txt/15516.jpg
15517,4,disgust,style_images/emotion_index_mapped_files/val_emo_list.txt/15517.jpg
15518,7,sadness,style_images/emotion_index_mapped_files/val_emo_list.txt/15518.jpg
15519,3,contentment,style_images/emotion_index_mapped_files/val_emo_list.txt/15519.jpg
15520,0,amusement,style_images/emotion_index_mapped_files/val_emo_list.txt/15520.jpg
15521,5,anger,style_images/emotion_index_mapped_files/val_emo_list.txt/15521.jpg
15522,2,awe,style_images/emotion_index_mapped_files/val_emo_list.txt/15522.jpg
15523,0,amusement,style_images/emotion_index_mapped_files/val_emo_list.txt/15523.jpg
15524,1,excitement,style_images/emotion_index_mapped_files/val_emo_list.txt/15524.jpg
15525,2,awe,style_images/emotion_index_mapped_files/val_emo_list.txt/15525.jpg
15526,2,awe,style_images/emotion_index_mapped_files/val_emo_list.txt/15526.jpg
15527,2,awe,style_images/emotion_index_mapped_files/val_emo_list.txt/15527.jpg
15528,1,excitement,style_images/emotion_index_mapped_files/val_emo_list.txt/15528.jpg
15529,0,amusement,style_images/emotion_index_mapped_files/val_emo_list.txt/15529.jpg
15530,3,contentment,style_images/emotion_index_mapped_files/val_emo_list.txt/15530.jpg
15531,3,contentment,style_images/emotion_index_mapped_files/val_emo_list.txt/15531.jpg
15532,5,anger,style_images/emotion_index_mapped_files/val_emo_list.txt/15532.jpg
15533,3,contentment,style_images/emotion_index_mapped_files/val_emo_list.txt/15533.jpg
15534,2,awe,style_images/emotion_index_mapped_files/val_emo_list.txt/15534.jpg
15535,2,awe,style_images/emotion_index_mapped_files/val_emo_list.txt/15535.jpg
15536,3,contentment,style_images/emotion_index_mapped_files/val_emo_list.txt/15536.jpg
15537,4,disgust,style_images/emotion_index_mapped_files/val_emo_list.txt/15537.jpg
15538,0,amusement,style_images/emotion_index_mapped_files/val_emo_list.txt/15538.jpg
15539,5,anger,style_images/emotion_index_mapped_files/val_emo_list.txt/15539.jpg
15540,2,awe,style_images/emotion_index_mapped_files/val_emo_list.txt/15540.jpg
15541,5,anger,style_images/emotion_index_mapped_files/val_emo_list.txt/15541.jpg
15542,3,contentment,style_images/emotion_index_mapped_files/val_emo_list.txt/15542.jpg
15543,7,sadness,style_images/emotion_index_mapped_files/val_emo_list.txt/15543.jpg
15544,4,disgust,style_images/emotion_index_mapped_files/val_emo_list.txt/15544.jpg
15545,3,contentment,style_images/emotion_index_mapped_files/val_emo_list.txt/15545.jpg
15546,2,awe,style_images/emotion_index_mapped_files/val_emo_list.txt/15546.jpg
15547,7,sadness,style_images/emotion_index_mapped_files/val_emo_list.txt/15547.jpg
15548,7,sadness,style_images/emotion_index_mapped_files/val_emo_list.txt/15548.jpg
15549,7,sadness,style_images/emotion_index_mapped_files/val_emo_list.txt/15549.jpg
15550,1,excitement,style_images/emotion_index_mapped_files/val_emo_list.txt/15550.jpg
15551,2,awe,style_images/emotion_index_mapped_files/val_emo_list.txt/15551.jpg
15552,6,fear,style_images/emotion_index_mapped_files/val_emo_list.txt/15552.jpg
15553,2,awe,style_images/emotion_index_mapped_files/val_emo_list.txt/15553.jpg
15554,1,excitement,style_images/emotion_index_mapped_files/val_emo_list.txt/15554.jpg
15555,7,sadness,style_images/emotion_index_mapped_files/val_emo_list.txt/15555.jpg
15556,0,amusement,style_images/emotion_index_mapped_files/val_emo_list.txt/15556.jpg
15557,2,awe,style_images/emotion_index_mapped_files/val_emo_list.txt/15557.jpg
15558,4,disgust,style_images/emotion_index_mapped_files/val_emo_list.txt/15558.jpg
15559,7,sadness,style_images/emotion_index_mapped_files/val_emo_list.txt/15559.jpg
15560,6,fear,style_images/emotion_index_mapped_files/val_emo_list.txt/15560.jpg
15561,5,anger,style_images/emotion_index_mapped_files/val_emo_list.txt/15561.jpg
15562,2,awe,style_images/emotion_index_mapped_files/val_emo_list.txt/15562.jpg
15563,3,contentment,style_images/emotion_index_mapped_files/val_emo_list.txt/15563.jpg
